frame,time_sec,track_id,class_id,class_name,center_x,center_y,conf,speed_kmh,exceeded
39,1.3013013013013013,1,2,car,1240,277,0.8931154012680054,24.71389511995226,0
39,1.3013013013013013,2,2,car,1582,41,0.5102140307426453,18.42715008458986,0
39,1.3013013013013013,3,2,car,1046,129,0.7372180223464966,7.06399674405361,0
39,1.3013013013013013,4,2,car,1089,289,0.8672826886177063,21.051184385682436,0
39,1.3013013013013013,5,2,car,1006,72,0.7364627122879028,3.8380326679172496,0
39,1.3013013013013013,6,2,car,1074,68,0.5291132926940918,5.2101465622379575,0
39,1.3013013013013013,7,2,car,1512,39,0.44468510150909424,17.64409090457381,0
39,1.3013013013013013,19,2,car,984,11,0.5489946007728577,2.680598291426748,0
39,1.3013013013013013,14,2,car,936,13,0.48473137617111206,1.5625747974260367,0
40,1.3346680013346681,1,2,car,1247,287,0.8907409310340881,26.585415328709836,0
40,1.3346680013346681,2,2,car,1577,40,0.4958997964859009,19.05132550979065,0
40,1.3346680013346681,3,2,car,1048,131,0.7502340078353882,7.435674508744987,0
40,1.3346680013346681,4,2,car,1093,300,0.8575335144996643,22.945705645283606,0
40,1.3346680013346681,5,2,car,1006,73,0.7528522610664368,3.716494832500108,0
40,1.3346680013346681,6,2,car,1076,70,0.35768237709999084,5.76311315870164,0
40,1.3346680013346681,7,2,car,1506,37,0.5096429586410522,17.64409090457381,0
40,1.3346680013346681,19,2,car,984,11,0.4981587529182434,2.010448718570061,0
40,1.3346680013346681,14,2,car,936,14,0.47903528809547424,1.5163753836039413,0
41,1.3680347013680347,1,2,car,1250,291,0.8904472589492798,26.585415328709836,0
41,1.3680347013680347,2,2,car,1575,40,0.49408361315727234,18.42715008458986,0
41,1.3680347013680347,3,2,car,1048,132,0.7496134042739868,7.335680876374053,0
41,1.3680347013680347,4,2,car,1093,305,0.8578640222549438,23.081008075905178,0
41,1.3680347013680347,5,2,car,1006,74,0.7525149583816528,3.87941427022173,0
41,1.3680347013680347,6,2,car,1076,71,0.3573564291000366,5.597966720158311,0
41,1.3680347013680347,7,2,car,1505,37,0.5051922798156738,17.180476587103165,0
41,1.3680347013680347,19,2,car,984,11,0.4979436695575714,1.6083589748560487,0
41,1.3680347013680347,14,2,car,936,14,0.4829397201538086,1.4216019221286949,0
42,1.4014014014014013,1,2,car,1256,299,0.9042669534683228,27.61724613787551,0
42,1.4014014014014013,2,2,car,1571,40,0.4261624813079834,18.198259582718343,0
42,1.4014014014014013,3,2,car,1049,134,0.780756950378418,7.510460473233316,0
42,1.4014014014014013,4,2,car,1096,312,0.8318846821784973,23.904297784289753,0
42,1.4014014014014013,5,2,car,1007,74,0.7428054213523865,3.716494832500108,0
42,1.4014014014014013,7,2,car,1501,35,0.4300404489040375,16.817653920805956,0
42,1.4014014014014013,19,2,car,984,11,0.4071238338947296,1.340299145713374,0
42,1.4014014014014013,14,2,car,937,14,0.46390724182128906,1.5401286591652033,0
43,1.4347681014347682,1,2,car,1263,310,0.9022674560546875,28.93239220596873,0
43,1.4347681014347682,2,2,car,1565,39,0.41887030005455017,18.00086010945033,0
43,1.4347681014347682,3,2,car,1050,136,0.7676585912704468,7.510460473233316,0
43,1.4347681014347682,4,2,car,1098,323,0.8510863184928894,24.919794185345914,0
43,1.4347681014347682,5,2,car,1008,76,0.7326507568359375,3.9959999999999996,0
